co_ref,total_cc_calls,last_cc_call,cutoff_date,days_since_last_cc_call,cc_calls_last_7,cc_calls_last_30,total_complaints,customer_issues,financial_issues,pricing_mentions,avg_cc_sentiment,repeat_call_ratio,high_call_volume
AX0272,2,2025-11-11,2025-11-20,9,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0
AX0272,2,2025-11-11,2026-11-20,374,0.0,1.0,0.0,0.0,0.0,0.0,50.0,0.0,0
AX0523,2,2024-10-12,2025-02-25,136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
AX5713,1,2024-11-11,2025-07-29,260,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0
AX8636,3,2025-12-12,2025-10-18,-55,0.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,0.0,0
AX8636,3,2025-12-12,2026-10-18,310,0.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,0.0,0
AY3176,3,2025-05-02,2025-09-19,140,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0
AY3176,3,2025-05-02,2024-09-19,-225,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0
AZ0370,2,2025-09-01,2026-09-18,382,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0
AZ0370,2,2025-09-01,2025-09-18,17,0.0,1.0,0.0,0.0,0.0,0.0,70.0,0.0,0
AZ0826,1,2025-10-10,2025-12-21,72,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0
AZ1521,1,2025-11-12,2025-11-26,14,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
AZ8674,1,2025-11-04,2026-09-21,321,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0
AZ9091,1,2025-02-12,2025-02-24,12,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BA1207,3,2024-07-11,2025-08-20,405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BA1207,3,2024-07-11,2026-08-20,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BA1207,3,2024-07-11,2024-08-20,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BA5272,1,2025-05-03,2025-09-24,144,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BA7176,1,2024-09-12,2025-06-28,289,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BB4494,3,2024-02-12,2025-06-17,491,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BB4494,3,2024-02-12,2026-06-17,856,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BB4494,3,2024-02-12,2024-06-17,126,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BB7533,1,2025-06-05,2025-09-24,111,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BC1024,1,2025-03-09,2025-06-25,108,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BC2085,2,2024-09-12,2025-09-22,375,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BC2085,2,2024-09-12,2024-09-22,10,0.0,1.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BC2811,1,2024-03-12,2025-02-19,344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
BC7033,2,2025-07-11,2026-03-21,253,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0
BC7177,2,2024-05-11,2025-05-27,381,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BC7177,2,2024-05-11,2024-05-27,16,0.0,1.0,0.0,0.0,0.0,0.0,80.0,0.0,0
BD0949,1,2025-07-02,2025-11-26,147,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0
BD1075,3,2024-04-11,2025-09-17,524,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
BD1075,3,2024-04-11,2026-09-17,889,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0
