co_ref,prospect_renewal_date,cutoff_date,renewal_year,churn_14,prospect_outcome,tenure_years,payment_method,band,proforma_auto_renewal,proforma_world_pay_token,total_spent,avg_payment,num_payments,last_payment_date,days_since_last_payment,total_calls,last_call_date,price_discussions,discount_requests,calls_last_7,calls_last_14,calls_last_30,days_since_last_call,recent_call_ratio,total_cc_calls,last_cc_call,total_complaints,customer_issues,pricing_mentions,avg_cc_sentiment,cc_calls_last_30,days_since_last_cc_call,repeat_call_ratio,total_interactions,interactions_14_days,pre_renewal_interactions,complaints,negative_experience,support_issues,financial_stress,price_dissatisfaction,avg_sentiment,agent_followups,last_moment_engagement_ratio,engagement_score
GF1516,2025-09-05,2025-08-22,2025,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,2.0,2025-08-11,0.0,0.0,0.0,2.0,2.0,11.0,1.0,7.0,2025-08-06,1.0,0.0,0.0,93.33333333333333,1.0,16.0,0.14285714285714285,3,1,0,0.0,1.0,0.0,1.0,0.0,50.0,7.0,0.3333333333333333,2
BL8276,2025-09-11,2025-08-28,2025,0,Won,7.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-08-15,0.0,0.0,0.0,1.0,1.0,13.0,1.0,1.0,2025-07-10,0.0,0.0,0.0,85.0,0.0,49.0,0.0,3,1,0,1.0,2.0,2.0,0.0,0.0,46.666666666666664,6.0,0.3333333333333333,2
SC0810,2025-09-02,2025-08-19,2025,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,3.0,2025-08-06,0.0,0.0,0.0,1.0,1.0,13.0,0.3333333333333333,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0.0,0.0,0.0,1.0,0.0,80.0,6.0,0.3333333333333333,2
WH5881,2025-06-10,2025-05-27,2025,0,Won,4.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-05-15,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,50.0,1.0,0.5,2
AG7687,2025-05-03,2025-04-19,2025,0,Won,2.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,9.0,2025-04-07,0.0,0.0,0.0,1.0,1.0,12.0,0.1111111111111111,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,90.0,2.0,0.3333333333333333,3
KC7061,2025-09-04,2025-08-21,2025,0,Won,11.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-08-08,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.5,2
WC6717,2025-04-09,2025-03-26,2025,0,Won,5.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,1.0,2025-03-13,0.0,0.0,0.0,1.0,1.0,13.0,1.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2
EW9495,2025-04-07,2025-03-24,2025,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,10.0,2025-03-13,0.0,0.0,0.0,1.0,1.0,11.0,0.1,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,1.0,0.0,0.0,0.0,50.0,7.0,0.5,2
QZ9026,2025-07-01,2025-06-17,2025,0,Won,6.0,CARD,Band B,True,True,664.0,664.0,1.0,2024-07-01,351.0,6.0,2025-06-06,0.0,0.0,0.0,1.0,1.0,11.0,0.16666666666666666,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0.0,0.0,0.0,1.0,0.0,50.0,5.0,0.5,2
CK0339,2026-01-11,2025-12-28,2026,0,Won,3.0,CARD,Band B,True,True,0.0,0.0,0.0,Unknown,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Unknown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.3333333333333333,3
